"TCF15","COX10","TAP1"
-1.45769,0.52175,0.93758
-0.63391,0.26994,0.35126
-0.65668,0.34369,-1.46227
-0.64215,0.50065,0.29405
-1.42668,0.1408,-0.19969
-0.69242,0.71429,0.10833
-0.34168,0.48514,0.02244
-0.43645,0.85845,-0.41699
-1.06608,0.29251,-0.21415
0.01014,0.11555,-1.21583
-0.74919,0.50343,-0.2454
-0.70522,0.30487,0.40943
-0.42962,0.19526,0.23535
-0.78299,0.47341,0.45251
-0.76196,0.17331,1.30041
-0.04426,0.34697,-1.43337
-0.53094,-0.20935,-0.37565
-0.32576,0.10397,-0.27887
-0.36648,0.37219,-0.23516
-0.15439,0.24622,-0.42663
0.08055,0.25911,-0.37946
-0.48854,0.39771,-0.77368
-0.68619,0.65581,0.49561
0.1459,0.14719,-0.191
-0.28443,0.17317,-0.15917
-1.27981,0.15256,-0.69131
